Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:11.159,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.1001,0.2658,0.013,0.024",2
urn:cts:greekLit:tlg5026.e3.hmt:11.160,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.0911,0.3258,0.019,0.0255",3
urn:cts:greekLit:tlg5026.e3.hmt:11.161,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.1001,0.5195,0.017,0.0225",4
urn:cts:greekLit:tlg5026.e3.hmt:11.162,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.0991,0.6231,0.011,0.0285",5
urn:cts:greekLit:tlg5026.e3.hmt:11.163,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.1001,0.7523,0.011,0.024",6
urn:cts:greekLit:tlg5026.e3.hmt:11.164,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.0961,0.7778,0.02,0.0315",7
urn:cts:greekLit:tlg5026.e3.hmt:11.165,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.4793,0.2327,0.0079,0.0205",8
urn:cts:greekLit:tlg5026.e3.hmt:11.166,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.478,0.2576,0.0083,0.02",9
urn:cts:greekLit:tlg5026.e3.hmt:11.167,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.4791,0.2765,0.0077,0.0175",10
urn:cts:greekLit:tlg5026.e3.hmt:11.168,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.7071,0.3337,0.0108,0.0221",11
urn:cts:greekLit:tlg5026.e3.hmt:11.169,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.7067,0.4557,0.0102,0.0196",12
urn:cts:greekLit:tlg5026.e3.hmt:11.170,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.7056,0.5357,0.0093,0.018",13
urn:cts:greekLit:tlg5026.e3.hmt:11.171,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.7034,0.6931,0.0124,0.0164",14
urn:cts:greekLit:tlg5026.e3.hmt:11.172,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.4755,0.7598,0.013,0.024",15
urn:cts:greekLit:tlg5026.e3.hmt:11.173,"urn:cite:hmt:e3bifolio.E3_145v_146r@0.5586,0.8198,0.02,0.0195",16
urn:cts:greekLit:tlg5026.e3.hmt:11.174,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.2154,0.2431,0.0087,0.0178",1
urn:cts:greekLit:tlg5026.e3.hmt:11.175,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.2134,0.266,0.0127,0.0221",2
urn:cts:greekLit:tlg5026.e3.hmt:11.176,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.2114,0.2961,0.0149,0.0202",3
urn:cts:greekLit:tlg5026.e3.hmt:11.177,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.1123,0.4285,0.0157,0.0229",4
urn:cts:greekLit:tlg5026.e3.hmt:11.178,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.1167,0.7622,0.0077,0.0156",5
urn:cts:greekLit:tlg5026.e3.hmt:11.179,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.1174,0.7987,0.0077,0.0178",6
urn:cts:greekLit:tlg5026.e3.hmt:11.180,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.1887,0.8267,0.0206,0.0279",asterisk
urn:cts:greekLit:tlg5026.e3.hmt:11.181,,7
urn:cts:greekLit:tlg5026.e3.hmt:11.182,,8
urn:cts:greekLit:tlg5026.e3.hmt:11.183,,9
urn:cts:greekLit:tlg5026.e3.hmt:11.184,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.7005,0.3331,0.012,0.0242",10
urn:cts:greekLit:tlg5026.e3.hmt:11.185,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6965,0.5483,0.0097,0.0227",11
urn:cts:greekLit:tlg5026.e3.hmt:11.186,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.4707,0.8258,0.0106,0.027",12
urn:cts:greekLit:tlg5026.e3.hmt:11.187,"urn:cite:hmt:e3bifolio.E3_146v_147r@0.6132,0.8611,0.0137,0.0189",13
urn:cts:greekLit:tlg5026.e3.hmt:11.188,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1258,0.2372,0.0073,0.0169",1
urn:cts:greekLit:tlg5026.e3.hmt:11.189,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1232,0.256,0.0088,0.015",2
urn:cts:greekLit:tlg5026.e3.hmt:11.190,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.119,0.3332,0.008,0.0183",3
urn:cts:greekLit:tlg5026.e3.hmt:11.191,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1188,0.4784,0.0126,0.0194",4
urn:cts:greekLit:tlg5026.e3.hmt:11.192,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1236,0.6549,0.0091,0.0186",5
urn:cts:greekLit:tlg5026.e3.hmt:11.193,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1309,0.7731,0.0091,0.0186",6
urn:cts:greekLit:tlg5026.e3.hmt:11.194,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.1303,0.8126,0.008,0.018",7
urn:cts:greekLit:tlg5026.e3.hmt:11.195,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.13,0.8293,0.0082,0.0142",8
urn:cts:greekLit:tlg5026.e3.hmt:11.196,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.4847,0.235,0.0093,0.0205",9
urn:cts:greekLit:tlg5026.e3.hmt:11.197,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.4834,0.252,0.0097,0.0172",10
urn:cts:greekLit:tlg5026.e3.hmt:11.198,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.4838,0.2664,0.0115,0.0161",11
urn:cts:greekLit:tlg5026.e3.hmt:11.199,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.4832,0.2806,0.0112,0.0153",12
urn:cts:greekLit:tlg5026.e3.hmt:11.200,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.7211,0.4712,0.0098,0.0208",13
urn:cts:greekLit:tlg5026.e3.hmt:11.201,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.7185,0.615,0.0123,0.0164",14
urn:cts:greekLit:tlg5026.e3.hmt:11.202,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.4759,0.7445,0.0156,0.0254",15
urn:cts:greekLit:tlg5026.e3.hmt:11.203,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.6655,0.783,0.0185,0.0205",16
urn:cts:greekLit:tlg5026.e3.hmt:11.204,"urn:cite:hmt:e3bifolio.E3_147v_148r@0.478,0.7935,0.014,0.0242",17
urn:cts:greekLit:tlg5026.e3.hmt:11.205,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1101,0.1952,0.023,0.024",1
urn:cts:greekLit:tlg5026.e3.hmt:11.206,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1091,0.2102,0.023,0.0255",2
urn:cts:greekLit:tlg5026.e3.hmt:11.207,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1091,0.2357,0.023,0.0255",3
urn:cts:greekLit:tlg5026.e3.hmt:11.208,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.3163,0.2357,0.023,0.0255",4
urn:cts:greekLit:tlg5026.e3.hmt:11.209,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.2422,0.2447,0.023,0.0255",5
urn:cts:greekLit:tlg5026.e3.hmt:11.210,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1081,0.2988,0.023,0.0255",6
urn:cts:greekLit:tlg5026.e3.hmt:11.211,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1101,0.4369,0.023,0.0255",7
urn:cts:greekLit:tlg5026.e3.hmt:11.212,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1111,0.527,0.023,0.0255",8
urn:cts:greekLit:tlg5026.e3.hmt:11.213,,9
urn:cts:greekLit:tlg5026.e3.hmt:11.214,,10
urn:cts:greekLit:tlg5026.e3.hmt:11.215,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.2943,0.7958,0.023,0.0255",11
urn:cts:greekLit:tlg5026.e3.hmt:11.216,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1251,0.8123,0.024,0.0165",12
urn:cts:greekLit:tlg5026.e3.hmt:11.217,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.1211,0.8303,0.022,0.0135",13
urn:cts:greekLit:tlg5026.e3.hmt:11.218,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.4815,0.2027,0.018,0.03",14
urn:cts:greekLit:tlg5026.e3.hmt:11.219,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.4785,0.2312,0.018,0.03",15
urn:cts:greekLit:tlg5026.e3.hmt:11.220,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.6036,0.2417,0.018,0.03",16
urn:cts:greekLit:tlg5026.e3.hmt:11.221,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.4825,0.2718,0.018,0.03",17
urn:cts:greekLit:tlg5026.e3.hmt:11.222,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.7187,0.3078,0.018,0.03",18
urn:cts:greekLit:tlg5026.e3.hmt:11.223,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.7147,0.3453,0.018,0.03",19
urn:cts:greekLit:tlg5026.e3.hmt:11.224,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.7167,0.4159,0.017,0.03",20
urn:cts:greekLit:tlg5026.e3.hmt:11.225,"urn:cite:hmt:e3bifolio.E3_148v_149r@0.7157,0.5315,0.017,0.03",21
urn:cts:greekLit:tlg5026.e3.hmt:11.227,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1169,0.2095,0.0156,0.0268",1
urn:cts:greekLit:tlg5026.e3.hmt:11.228,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1155,0.2274,0.0156,0.0268",2
urn:cts:greekLit:tlg5026.e3.hmt:11.229,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.2326,0.2486,0.0146,0.0206",3
urn:cts:greekLit:tlg5026.e3.hmt:11.230,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1123,0.2802,0.0146,0.0206",4
urn:cts:greekLit:tlg5026.e3.hmt:11.231,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1123,0.3338,0.0146,0.0206",5
urn:cts:greekLit:tlg5026.e3.hmt:11.232,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1114,0.4279,0.0146,0.0206",6
urn:cts:greekLit:tlg5026.e3.hmt:11.233,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1114,0.5487,0.0146,0.0192",7
urn:cts:greekLit:tlg5026.e3.hmt:11.234,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1174,0.7513,0.0146,0.0192",8
urn:cts:greekLit:tlg5026.e3.hmt:11.235,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1164,0.8062,0.0146,0.0192",9
urn:cts:greekLit:tlg5026.e3.hmt:11.236,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.1164,0.8248,0.0146,0.0192",10
urn:cts:greekLit:tlg5026.e3.hmt:11.237,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.3351,0.8193,0.0146,0.0192",11
urn:cts:greekLit:tlg5026.e3.hmt:11.238,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.2569,0.8303,0.0146,0.0192",12
urn:cts:greekLit:tlg5026.e3.hmt:11.239,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.4884,0.2198,0.0129,0.0232",13
urn:cts:greekLit:tlg5026.e3.hmt:11.240,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.4816,0.236,0.0129,0.0232",14
urn:cts:greekLit:tlg5026.e3.hmt:11.241,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.4846,0.2766,0.0129,0.0232",15
urn:cts:greekLit:tlg5026.e3.hmt:11.242,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.7168,0.3302,0.0129,0.0232",16
urn:cts:greekLit:tlg5026.e3.hmt:11.243,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.718,0.3856,0.0129,0.0232",17
urn:cts:greekLit:tlg5026.e3.hmt:11.244,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.715,0.4566,0.0129,0.0232",18
urn:cts:greekLit:tlg5026.e3.hmt:11.245,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.7155,0.5456,0.0129,0.0232",19
urn:cts:greekLit:tlg5026.e3.hmt:11.246,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.7129,0.6527,0.0129,0.0232",20
urn:cts:greekLit:tlg5026.e3.hmt:11.247,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.4794,0.845,0.0129,0.0232",21
urn:cts:greekLit:tlg5026.e3.hmt:11.248,"urn:cite:hmt:e3bifolio.E3_149v_150r@0.4803,0.8611,0.0129,0.0232",22
urn:cts:greekLit:tlg5026.e3.hmt:11.249,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1782,0.1727,0.022,0.039",1
urn:cts:greekLit:tlg5026.e3.hmt:11.250,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.3083,0.1787,0.022,0.039",2
urn:cts:greekLit:tlg5026.e3.hmt:11.251,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1762,0.2057,0.022,0.039",3
urn:cts:greekLit:tlg5026.e3.hmt:11.252,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.2823,0.2282,0.022,0.039",4
urn:cts:greekLit:tlg5026.e3.hmt:11.253,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1742,0.3123,0.022,0.039",5
urn:cts:greekLit:tlg5026.e3.hmt:11.254,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1772,0.5465,0.022,0.039",6
urn:cts:greekLit:tlg5026.e3.hmt:11.255,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1822,0.7147,0.022,0.039",7
urn:cts:greekLit:tlg5026.e3.hmt:11.256,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.1832,0.7703,0.022,0.039",8
urn:cts:greekLit:tlg5026.e3.hmt:11.257,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5375,0.1757,0.022,0.039",9
urn:cts:greekLit:tlg5026.e3.hmt:11.258,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5385,0.2102,0.015,0.027",10
urn:cts:greekLit:tlg5026.e3.hmt:11.259,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5415,0.2417,0.015,0.027",11
urn:cts:greekLit:tlg5026.e3.hmt:11.260,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.7738,0.2733,0.015,0.027",12
urn:cts:greekLit:tlg5026.e3.hmt:11.261,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.7668,0.4895,0.015,0.027",13
urn:cts:greekLit:tlg5026.e3.hmt:11.262,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5345,0.6997,0.015,0.027",14
urn:cts:greekLit:tlg5026.e3.hmt:11.263,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5325,0.7312,0.015,0.027",15
urn:cts:greekLit:tlg5026.e3.hmt:11.264,"urn:cite:hmt:e3bifolio.E3_150v_151r@0.5325,0.7583,0.015,0.027",16
urn:cts:greekLit:tlg5026.e3.hmt:11.265,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.2462,0.1441,0.019,0.027",1
urn:cts:greekLit:tlg5026.e3.hmt:11.266,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.1391,0.2372,0.019,0.027",2
urn:cts:greekLit:tlg5026.e3.hmt:11.267,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.1321,0.4279,0.019,0.027",3
urn:cts:greekLit:tlg5026.e3.hmt:11.268,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.1381,0.5781,0.019,0.027",4
urn:cts:greekLit:tlg5026.e3.hmt:11.269,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.2523,0.6802,0.019,0.027",5
urn:cts:greekLit:tlg5026.e3.hmt:11.270,"urn:cite:hmt:e3bifolio.E3_151v_151bisr@0.2523,0.7117,0.019,0.027",6
urn:cts:greekLit:tlg5026.e3.hmt:11.271,"IMG",7.E3_151v_151bisr
urn:cts:greekLit:tlg5026.e3.hmt:11.271,"IMG",8
urn:cts:greekLit:tlg5026.e3.hmt:11.272,"IMG",8
urn:cts:greekLit:tlg5026.e3.hmt:11.273,"IMG",9
urn:cts:greekLit:tlg5026.e3.hmt:11.274,"IMG",10
urn:cts:greekLit:tlg5026.e3.hmt:11.275,"IMG",11
urn:cts:greekLit:tlg5026.e3.hmt:11.276,"IMG",12
urn:cts:greekLit:tlg5026.e3.hmt:11.277,"IMG",13
urn:cts:greekLit:tlg5026.e3.hmt:11.278,"IMG",14
urn:cts:greekLit:tlg5026.e3.hmt:11.280,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1491,0.1231,0.03,0.0255",1.151bisv.152r
urn:cts:greekLit:tlg5026.e3.hmt:11.281,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1512,0.1562,0.025,0.021",2
urn:cts:greekLit:tlg5026.e3.hmt:11.282,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1512,0.1712,0.025,0.021",3
urn:cts:greekLit:tlg5026.e3.hmt:11.283,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1522,0.2252,0.025,0.021",4
urn:cts:greekLit:tlg5026.e3.hmt:11.284,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1522,0.452,0.025,0.021",5
urn:cts:greekLit:tlg5026.e3.hmt:11.285,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1572,0.5766,0.025,0.021",6
urn:cts:greekLit:tlg5026.e3.hmt:11.286,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1612,0.6667,0.025,0.021",7
urn:cts:greekLit:tlg5026.e3.hmt:11.287,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.1612,0.6907,0.025,0.021",8
urn:cts:greekLit:tlg5026.e3.hmt:11.288,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5145,0.1276,0.025,0.021",9
urn:cts:greekLit:tlg5026.e3.hmt:11.289,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5886,0.1517,0.025,0.021",10
urn:cts:greekLit:tlg5026.e3.hmt:11.290,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5145,0.1697,0.025,0.021",11
urn:cts:greekLit:tlg5026.e3.hmt:11.291,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.7467,0.2327,0.025,0.021",12
urn:cts:greekLit:tlg5026.e3.hmt:11.292,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.7487,0.3904,0.025,0.021",13
urn:cts:greekLit:tlg5026.e3.hmt:11.293,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.7477,0.5225,0.025,0.021",14
urn:cts:greekLit:tlg5026.e3.hmt:11.294,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5175,0.6607,0.025,0.021",15
urn:cts:greekLit:tlg5026.e3.hmt:11.295,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.6667,0.6862,0.025,0.021",16
urn:cts:greekLit:tlg5026.e3.hmt:11.296,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5115,0.6847,0.025,0.021",17
urn:cts:greekLit:tlg5026.e3.hmt:11.297,"urn:cite:hmt:e3bifolio.E3_151bisv_152r@0.5105,0.7012,0.025,0.021",18
urn:cts:greekLit:tlg5026.e3.hmt:11.298,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.2753,0.1186,0.022,0.0315",1
urn:cts:greekLit:tlg5026.e3.hmt:11.299,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.2733,0.1517,0.022,0.0315",2
urn:cts:greekLit:tlg5026.e3.hmt:11.300,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.1622,0.1967,0.022,0.0315",3
urn:cts:greekLit:tlg5026.e3.hmt:11.301,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.1662,0.4294,0.022,0.0315",4
urn:cts:greekLit:tlg5026.e3.hmt:11.302,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.1722,0.6441,0.027,0.0315",5
urn:cts:greekLit:tlg5026.e3.hmt:11.303,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.1752,0.6712,0.027,0.0315",6
urn:cts:greekLit:tlg5026.e3.hmt:11.304,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.1722,0.6922,0.027,0.0255",7
urn:cts:greekLit:tlg5026.e3.hmt:11.305,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.5415,0.1036,0.019,0.03",8
urn:cts:greekLit:tlg5026.e3.hmt:11.306,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.5415,0.1456,0.019,0.03",9
urn:cts:greekLit:tlg5026.e3.hmt:11.307,"urn:cite:hmt:e3bifolio.E3_152v_153r@0.7728,0.2147,0.019,0.03",10




